Time,Type,DevAddr,DevEUI,FCnt,RJcount1,Invalid
'2021-09-05 12:10:13.45','Join-Accept','a173df47',,,,
'2021-09-05 12:10:28.82','Uplink Msg (UC)','260b7199',,'0000',,
'2021-09-05 12:10:28.84','Uplink Msg (UC)','260b7199',,'0000',,
'2021-09-05 12:10:35.12','Join-Request',,'b12d09b03465c548',,,'Corrupted! Invalid packet size.'
'2021-09-05 12:10:35.31','Downlink Msg (C)','260b7199',,'0001',,
'2021-09-05 12:10:57.60','Uplink Msg (C)','260bd485',,'0001',,
'2021-09-05 12:11:02.66','Downlink Msg (UC)','260bd485',,'0001',,
'2021-09-05 12:11:57.60','Uplink Msg (C)','260bd485',,'0002',,
'2021-09-05 12:12:02.64','Downlink Msg (UC)','260bd485',,'0002',,
'2021-09-05 12:12:57.60','Uplink Msg (C)','260bd485',,'0003',,
'2021-09-05 12:12:57.61','Uplink Msg (C)','260bd485',,'0003',,
'2021-09-05 12:13:02.64','Downlink Msg (UC)','260bd485',,'0003',,
'2021-09-05 12:13:57.59','Uplink Msg (C)','260bd485',,'0004',,
'2021-09-05 12:14:02.66','Downlink Msg (UC)','260bd485',,'0004',,
'2021-09-05 12:14:57.58','Uplink Msg (C)','260bd485',,'0005',,
'2021-09-05 12:15:02.65','Downlink Msg (UC)','260bd485',,'0005',,
'2021-09-05 12:15:57.59','Uplink Msg (C)','260bd485',,'0006',,
'2021-09-05 12:16:02.62','Downlink Msg (UC)','260bd485',,'0006',,
'2021-09-05 12:16:22.05','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 12:16:28.86','Join-Accept','60bf38ca',,,,
'2021-09-05 12:16:44.37','Uplink Msg (UC)','260b8df8',,'0000',,
'2021-09-05 12:16:44.38','Uplink Msg (UC)','260b8df8',,'0000',,
'2021-09-05 12:16:50.85','Downlink Msg (C)','260b8df8',,'0001',,
'2021-09-05 12:16:51.93','Downlink Msg (C)','afe2b454',,'0717',,
'2021-09-05 12:17:30.93','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 12:19:21.11','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 12:19:27.92','Join-Accept','d240f202',,,,
'2021-09-05 12:19:43.31','Uplink Msg (UC)','260b5edd',,'0000',,
'2021-09-05 12:19:49.79','Downlink Msg (C)','260b5edd',,'0001',,
'2021-09-05 12:19:57.56','Proprietary',,,,,
